TransMorph_ncc_1_diffusion_1_official
,Unknown,Left-Cerebral-White-Matter,Left-Cerebral-Cortex,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper*,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Cerebral-White-Matter,Right-Cerebral-Cortex,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper*,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,non_jec,30-structures dice,ncc_loss,mi_loss,ssim_loss
p_0,0.9759181506490358,0.8364774896425432,0.727076999405301,0.8723920003149546,0.3765786409118411,0.7339606885713085,0.7672855020193264,0.8390600517811697,0.7999427987988806,0.6424662117251578,0.7108626179157012,0.8437246940790156,0.7143862926205439,0.8492826158075938,0.8204619263619073,0.7899041813743768,0.6988402517813682,0.6181491408971326,0.8377090366192627,0.28124995605469433,0.24867724648432762,0.8247607086318567,0.7056504561269574,0.836567485384097,0.48192770600474194,0.7010435292797058,0.8032722183772902,0.8799187032801227,0.7738168396222852,0.6070845949579532,0.6972236754918185,0.8226081028067688,0.8102094223162971,0.5974981560154661,0.8474815068268039,0.46341457763236854,0.29919857258060045,0.0,0.0016515276494506387,0.0,0.3748488467370152,0.0,0.0,0.0,0.0,0.0,0.013687569754464286,0.7447115473661765,-0.3981146216392517,-0.07513555139303207,0.06637918949127197
p_1,0.9739920711424102,0.8292045050586025,0.7253971345760598,0.823438429016396,0.19809523432199555,0.7822656914990966,0.7724952502590877,0.8495665472465239,0.7964250238376055,0.614018334020227,0.6177125041884457,0.6406109584878213,0.8328550917631724,0.8421834844037861,0.7996589932749275,0.726003488591365,0.5628284731828548,0.5671641746491424,0.8112463274769229,0.0,0.2669632895777165,0.8262992738230152,0.726415094329711,0.7853300727095924,0.13528336132937183,0.7784244341236557,0.8233993427059751,0.8722719136865464,0.7240306358017824,0.5943743932159318,0.576338927705158,0.7912704873754682,0.750360748556131,0.571810283421441,0.7727655270385747,0.0,0.23557125753155175,0.0,0.0,0.0,0.30385486839331366,0.0,0.0,0.0,0.0,0.0,0.014747692289806548,0.7183241878354568,-0.5469235777854919,-0.07222443073987961,0.07442021369934082
p_2,0.9777447117274085,0.8504898425397184,0.7468013644103948,0.8738213689297222,0.551724132165892,0.8084556134231585,0.8473867320275837,0.8611679705832824,0.8370144696153663,0.6763552472014357,0.6468606412041021,0.8030175993167744,0.8415281808437071,0.8857221054856815,0.8429224706551925,0.8019905688790189,0.6994489160684657,0.6200345369599781,0.8593914954799967,0.5797100609115854,0.376313272432538,0.8380316037316579,0.7376624019776802,0.8617098886637197,0.5801253305270785,0.82321509753774,0.8750946252272563,0.884411063757458,0.8333759253343012,0.6446084257978952,0.7030851947266199,0.839435423071808,0.8214811161807721,0.642984008499254,0.8536917973371403,0.2127659121774655,0.37288135242107956,0.0,0.0,0.0,0.2099009880207823,0.0,0.0,0.0,0.0,0.0,0.012811424618675595,0.778245725828709,-0.2929534316062927,-0.075898677110672,0.060823798179626465
p_3,0.9714773848401054,0.8383862971232403,0.7083396552186004,0.8440755384969776,0.44419889011934927,0.7331457788502072,0.6747789854861116,0.8392663333843791,0.7817035613814638,0.6726137370674856,0.6968108329034277,0.7935764443172417,0.7383897298987404,0.8252377444165672,0.7933142303788785,0.7724895377288453,0.7360594768176227,0.6328538937709773,0.831175339711657,0.1728394848346315,0.3535427293386214,0.8189984501966955,0.694600941706472,0.8797527547152403,0.33291925052274224,0.7756038757532561,0.7889792637332276,0.8511274592672244,0.7722028430745871,0.5904417359192291,0.6866250254434094,0.8100553741671307,0.7447929717822008,0.5491749138668323,0.8358562360796142,0.0,0.43760683511335136,0.0,0.007874015670531342,0.0,0.08639308668697437,0.0,0.0,0.0,0.0,0.0,0.01752377464657738,0.7439849906490568,-0.30861636996269226,-0.07429098337888718,0.07247430086135864
p_4,0.9762547981092776,0.8449541316988045,0.7272057058497754,0.8952461712736952,0.5011764646920416,0.7862796831415567,0.8441711510305185,0.8181563458570152,0.8463045038178492,0.7424954438069479,0.7461430557593665,0.8121085566732479,0.823549256370531,0.8971326801607955,0.8362257202204049,0.8347226190436257,0.7221795828005387,0.6355932158503305,0.823585444062121,0.3768115395925305,0.38550922497943113,0.8388680591052192,0.727907225789393,0.8810671370303893,0.5846153796186719,0.7981340116326989,0.8473134743285556,0.849256899737816,0.846424869589197,0.7103122796361961,0.7610741318313654,0.8432333120603865,0.8273957447462144,0.6341463372831487,0.8516005725259431,0.1562499755859413,0.5372031633920678,0.0,0.0017857142697704084,0.0,0.37011493827454095,0.0,0.0,0.0,0.0,0.0,0.011133829752604166,0.7901920052650556,-0.3089025616645813,-0.08346250653266907,0.05457460880279541
p_5,0.97522827548195,0.8425554341354093,0.730783365600476,0.9065697718596356,0.36100131276678116,0.749244712755147,0.8099798465208033,0.8643852973473988,0.8430074852522432,0.7641144617516294,0.6471838452519026,0.8708633966885707,0.7524752458315139,0.8570218257842777,0.8141418123502451,0.7611360216408489,0.6467432925412134,0.6344085972779677,0.8421261395853569,0.33962257742970237,0.3668874147888251,0.832533664517706,0.7184586926842376,0.9184591147304999,0.47010868926482763,0.7593211620084466,0.8250069396414607,0.8762453481717409,0.8572963670134361,0.7901119395614628,0.7211485347290211,0.8479816768317763,0.8096555171997598,0.7046548900107954,0.846445896597294,0.2941176038062347,0.4247058798546713,0.0,0.0026560424790435426,0.0,0.3458282908606011,0.0,0.0,0.0,0.0,0.0,0.013713437034970239,0.7765530034409004,-0.31133168935775757,-0.0808865875005722,0.05661588907241821
p_6,0.9718828033215164,0.828656783077368,0.6788464269561555,0.9157050652953976,0.4712643639469264,0.7226879392638615,0.8088420355659779,0.8009445911755877,0.7628252778651484,0.5428921561974361,0.6263676131663906,0.8385592100581518,0.805271370200674,0.8395015039382034,0.8333029355888173,0.7650328429382697,0.6846576677428402,0.6074074009798158,0.8226225680535785,0.44776112719983174,0.41022001128303753,0.8099102093826288,0.6532534647977194,0.8984897022430236,0.34565434220125535,0.7452870504902209,0.8284858293447788,0.8224642264008711,0.7771389913458021,0.5473684204124346,0.5741744687674359,0.8416470785743475,0.7752943985212825,0.6340956275042035,0.8310185177786517,0.16438353912554257,0.45110409857463674,0.0,0.0012128562691761293,0.0,0.1518438144936266,0.0,0.0,0.0,0.0,0.0,0.01609642392113095,0.7414190818333577,-0.2962770164012909,-0.07458467781543732,0.06744396686553955
p_7,0.9781958109021435,0.843786240759398,0.746182909922795,0.8505426948177204,0.4845172997767095,0.8220753635311446,0.848946375940392,0.8719677289760912,0.8323907444313744,0.7253514475654765,0.690661966547541,0.7821100887534017,0.8236328453954056,0.8770851100071235,0.8270291560017443,0.8107648702244621,0.6999999969827586,0.5575364622565927,0.8380512219930183,0.27397256520923763,0.43317972065056143,0.8337574343005888,0.7357289950468385,0.890387730927922,0.3550295815972831,0.8186736741942576,0.8559366609838349,0.8732087579541392,0.8443501816373864,0.7146430626181999,0.6986986969502035,0.8364691745031334,0.8198473261581493,0.6661796883405429,0.8455384606712426,0.1999999750000031,0.513329197065535,0.0,0.006198347043405506,0.0,0.47142856469387767,0.0,0.0,0.0,0.0,0.0,0.00952177501860119,0.7868109278503947,-0.34065118432044983,-0.0782092809677124,0.0555000901222229
p_8,0.9765201385362796,0.8485150935481257,0.7389342435540681,0.8388859075952949,0.5931623880926292,0.8002541159404272,0.8471532114140394,0.8538423450938762,0.8352685040695833,0.7278654040716452,0.7064837215321933,0.7959255328558991,0.7939441588793863,0.8803919787895124,0.84239795257213,0.8124815990212493,0.6863250988340394,0.6424625047950868,0.8571428563634238,0.4687499267578239,0.3814432956920679,0.8343505887413674,0.734631150409284,0.8024100648569821,0.5934618558804539,0.8271472216738861,0.8667453428210025,0.8774362609174885,0.8522103049277919,0.6940789466073696,0.7112477563124576,0.8422646070821833,0.8183079034166216,0.704832708514255,0.8588679237180491,0.06896550535077493,0.31578947104603616,0.0,0.0,0.0,0.3205944764268102,0.0,0.0,0.0,0.0,0.0,0.012614949544270834,0.7760914187452491,-0.23862230777740479,-0.08128025382757187,0.056474387645721436
p_9,0.9737929824246228,0.8570250362617919,0.7128417381471728,0.9095023855734145,0.35864296674243995,0.8266985379465237,0.8519453570221722,0.8656790118113092,0.845235132066142,0.7195110297779477,0.6744910163485246,0.7204349763460127,0.8392857124580015,0.900927371058502,0.8240627287134737,0.8166377787984825,0.5792972432132134,0.6493902389528183,0.8315191206709189,0.5528454835084973,0.4215425503886799,0.8451745931321888,0.7042260850608331,0.9002827033859282,0.45410627470886145,0.8235432052926652,0.8371118742011548,0.8794003803653005,0.8257672997715401,0.6913580239859627,0.7346180619117296,0.806748832348033,0.8132711795632817,0.6465833898120251,0.823691730734511,0.041666657986112916,0.3934977556418287,0.0,0.0015873015747039558,0.0,0.3309002392834521,0.0,0.0,0.0,0.0,0.0,0.014677647181919643,0.7758442817332412,-0.3096831738948822,-0.08113398402929306,0.060398101806640625
